experiment_id,classification,cases,total_cases,share
10,ends_early,1255,152752,0.008215931706295171
10,exact_expected_lifecycle,150238,152752,0.9835419503508955
10,starts_late,1259,152752,0.00824211794280926
14,ends_early,1196,152678,0.007833479610683923
14,exact_expected_lifecycle,150297,152678,0.9844050878319077
14,starts_late,1185,152678,0.007761432557408402
23,ends_early,19269,154912,0.12438674860565999
23,exact_expected_lifecycle,132224,154912,0.8535426564759347
23,other_deviation,43,154912,0.0002775769469117951
23,starts_late,3376,154912,0.021793017971493495
