experiment,run,disposed_products
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,0
23,1,113
23,2,0
23,3,0
23,4,409
23,5,229
23,6,323
23,7,229
23,8,206
23,9,188
23,10,453
23,11,437
23,12,657
23,13,161
23,14,601
23,15,559
23,16,499
23,17,227
23,18,483
23,19,568
23,20,326
