experiment,run,cases,events,activities,variants
10,1,7559,82507,11,10
10,2,7740,84424,11,10
10,3,7573,82562,11,9
10,4,7709,83950,11,11
10,5,7669,83694,11,10
10,6,7701,84136,11,10
10,7,7536,82212,11,10
10,8,7605,83005,11,11
10,9,7633,83266,11,10
10,10,7577,82632,11,12
10,11,7580,82691,11,12
10,12,7771,84762,11,12
10,13,7641,83411,11,9
10,14,7650,83406,11,11
10,15,7710,84112,11,9
10,16,7513,81889,11,10
10,17,7694,83933,11,11
10,18,7548,82341,11,11
10,19,7729,84374,11,8
10,20,7614,83029,11,10
14,1,7557,82498,11,11
14,2,7735,84418,11,10
14,3,7568,82568,11,10
14,4,7702,83954,11,9
14,5,7666,83685,11,9
14,6,7702,84134,11,7
14,7,7532,82205,11,10
14,8,7601,83005,11,6
14,9,7630,83259,11,8
14,10,7567,82601,11,10
14,11,7576,82684,11,8
14,12,7769,84769,11,12
14,13,7638,83421,11,7
14,14,7649,83388,11,8
14,15,7706,84101,11,8
14,16,7509,81885,11,8
14,17,7693,83944,11,10
14,18,7545,82342,11,11
14,19,7725,84367,11,8
14,20,7608,83038,11,8
23,1,7698,79401,12,15
23,2,7873,82386,11,15
23,3,7607,81598,11,15
23,4,7787,79126,12,16
23,5,7771,80000,12,16
23,6,7924,78629,12,16
23,7,7597,79144,12,15
23,8,7761,79394,12,16
23,9,7706,80557,12,14
23,10,7708,77106,12,15
23,11,7639,78406,12,14
23,12,7930,77110,12,15
23,13,7721,80974,12,13
23,14,7766,77885,12,15
23,15,7785,78869,12,14
23,16,7649,76028,12,15
23,17,7833,80213,12,14
23,18,7655,77097,12,15
23,19,7857,78669,12,15
23,20,7645,79860,12,15
