experiment_id,region,vehicle_type_clean,products,share_percent,mean_waiting_time,mean_travel_time
10,Region 1,UAV,66941,49.65875877212505,0.9296172569874965,6.25
10,Region 1,HDF,34107,25.301553389415588,5.276474547746797,15.0
10,Region 1,AGV,33754,25.03968783845937,14.273033883391598,30.0
10,Region 3,UAV,64469,47.824958086675274,1.8374367758147327,8.3333
10,Region 3,AGV,38069,28.24067892167772,21.108694460059365,37.5
10,Region 3,HDF,32264,23.934362991647006,9.77595493429209,20.0
14,Region 1,UAV,82512,61.209774335692344,0.41328570632150474,6.25
14,Region 1,HDF,32062,23.784513582884525,1.9902978104921714,15.0
14,Region 1,AGV,20228,15.005712081423125,4.315621480126557,30.0
14,Region 3,UAV,78039,57.89157430898651,1.0670919053293866,8.3333
14,Region 3,HDF,30905,22.926217711903384,5.904977734994337,20.0
14,Region 3,AGV,25858,19.182207979110103,11.58809771057313,37.5
23,Region 1,AGV,71325,55.66438259946619,18.606158945671222,30.0
23,Region 1,HDF,56809,44.33561740053381,12.385785893080323,15.0
23,Region 3,AGV,72821,59.27345835775216,23.020164808228394,37.5
23,Region 3,HDF,50035,40.72654164224783,16.344094497851504,20.0
